phase,family,candidate_id,seed,order,sequence_id,stage,domain,parent_checkpoint,status,resolved
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C03,161,2,C_SHARED__B2_PARENT_PAS_KL_C03__S161__O2,2,RIM_ONE_r3,C_SHARED__B2_PARENT_PAS_KL_C03__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C04,161,1,C_SHARED__B2_PARENT_PAS_KL_C04__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C04,161,1,C_SHARED__B2_PARENT_PAS_KL_C04__S161__O1,2,Drishti_GS,C_SHARED__B2_PARENT_PAS_KL_C04__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C04,161,2,C_SHARED__B2_PARENT_PAS_KL_C04__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C04,161,2,C_SHARED__B2_PARENT_PAS_KL_C04__S161__O2,2,RIM_ONE_r3,C_SHARED__B2_PARENT_PAS_KL_C04__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C05,161,1,C_SHARED__B2_PARENT_PAS_KL_C05__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C05,161,1,C_SHARED__B2_PARENT_PAS_KL_C05__S161__O1,2,Drishti_GS,C_SHARED__B2_PARENT_PAS_KL_C05__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C05,161,2,C_SHARED__B2_PARENT_PAS_KL_C05__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C05,161,2,C_SHARED__B2_PARENT_PAS_KL_C05__S161__O2,2,RIM_ONE_r3,C_SHARED__B2_PARENT_PAS_KL_C05__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C06,161,1,C_SHARED__B2_PARENT_PAS_KL_C06__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C06,161,1,C_SHARED__B2_PARENT_PAS_KL_C06__S161__O1,2,Drishti_GS,C_SHARED__B2_PARENT_PAS_KL_C06__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C06,161,2,C_SHARED__B2_PARENT_PAS_KL_C06__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C06,161,2,C_SHARED__B2_PARENT_PAS_KL_C06__S161__O2,2,RIM_ONE_r3,C_SHARED__B2_PARENT_PAS_KL_C06__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C07,161,1,C_SHARED__B2_PARENT_PAS_KL_C07__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C07,161,1,C_SHARED__B2_PARENT_PAS_KL_C07__S161__O1,2,Drishti_GS,C_SHARED__B2_PARENT_PAS_KL_C07__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C07,161,2,C_SHARED__B2_PARENT_PAS_KL_C07__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C07,161,2,C_SHARED__B2_PARENT_PAS_KL_C07__S161__O2,2,RIM_ONE_r3,C_SHARED__B2_PARENT_PAS_KL_C07__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C08,161,1,C_SHARED__B2_PARENT_PAS_KL_C08__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C08,161,1,C_SHARED__B2_PARENT_PAS_KL_C08__S161__O1,2,Drishti_GS,C_SHARED__B2_PARENT_PAS_KL_C08__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C08,161,2,C_SHARED__B2_PARENT_PAS_KL_C08__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C08,161,2,C_SHARED__B2_PARENT_PAS_KL_C08__S161__O2,2,RIM_ONE_r3,C_SHARED__B2_PARENT_PAS_KL_C08__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C01,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C01__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C01,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C01__S161__O1,2,Drishti_GS,C_SHARED__B3_PARENT_LCTX_DENSEG_C01__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C01,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C01__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C01,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C01__S161__O2,2,RIM_ONE_r3,C_SHARED__B3_PARENT_LCTX_DENSEG_C01__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C02,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C02__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C02,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C02__S161__O1,2,Drishti_GS,C_SHARED__B3_PARENT_LCTX_DENSEG_C02__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C02,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C02__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C02,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C02__S161__O2,2,RIM_ONE_r3,C_SHARED__B3_PARENT_LCTX_DENSEG_C02__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C03,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C03__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C03,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C03__S161__O1,2,Drishti_GS,C_SHARED__B3_PARENT_LCTX_DENSEG_C03__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C03,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C03__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C03,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C03__S161__O2,2,RIM_ONE_r3,C_SHARED__B3_PARENT_LCTX_DENSEG_C03__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C04,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C04__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C04,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C04__S161__O1,2,Drishti_GS,C_SHARED__B3_PARENT_LCTX_DENSEG_C04__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C04,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C04__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C04,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C04__S161__O2,2,RIM_ONE_r3,C_SHARED__B3_PARENT_LCTX_DENSEG_C04__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C05,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C05__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C05,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C05__S161__O1,2,Drishti_GS,C_SHARED__B3_PARENT_LCTX_DENSEG_C05__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C05,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C05__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C05,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C05__S161__O2,2,RIM_ONE_r3,C_SHARED__B3_PARENT_LCTX_DENSEG_C05__S161__O2__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C06,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C06__S161__O1,1,RIM_ONE_r3,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C06,161,1,C_SHARED__B3_PARENT_LCTX_DENSEG_C06__S161__O1,2,Drishti_GS,C_SHARED__B3_PARENT_LCTX_DENSEG_C06__S161__O1__STAGE1_OWN_CHECKPOINT,PLANNED_NOT_LAUNCHED,False
C_SHARED,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C06,161,2,C_SHARED__B3_PARENT_LCTX_DENSEG_C06__S161__O2,1,Drishti_GS,COMMON_SOURCE_S161,PLANNED_NOT_LAUNCHED,False
