seed,transition,update_batch,variant,class_id,region,margin_agreement_before,margin_agreement_after,margin_agreement_delta,margin_abs_error_after,metric_function,hidden_gt_usage
0,REFUGE->RIM_ONE_r3,0,B1,1,all,0.8027018820212352,0.8032467050268881,0.0005448230056529502,0.1967532949731119,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B1,1,boundary,0.7485211104847956,0.7485357654432373,1.4654958441662203e-05,0.2514642345567627,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B1,1,interior,0.8240149546477754,0.8247683330458576,0.0007533783980822051,0.17523166695414238,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B1,2,all,0.8127206869826048,0.8120104052149999,-0.0007102817676049034,0.1879895947850001,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B1,2,boundary,0.7305873604513775,0.7308105582297566,0.00022319777837909172,0.2691894417702434,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B1,2,interior,0.8394034996510095,0.8383899771177186,-0.0010135225332909004,0.16161002288228143,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,0,all,0.9880842600079781,0.9880327651656979,-5.149484228017531e-05,0.011967234834302065,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,0,boundary,0.8314975591203475,0.8311409147038455,-0.0003566444165019611,0.16885908529615445,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,0,interior,0.9910673158695831,0.991021654123725,-4.5661745858072145e-05,0.008978345876274996,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,1,all,0.8027018820212352,0.8029671065054248,0.0002652244841896412,0.1970328934945752,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,1,boundary,0.7485211104847956,0.7482212158083003,-0.0002998946764953825,0.25177878419169974,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,1,interior,0.8240149546477754,0.8245024477920998,0.0004874931443243913,0.1754975522079002,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,2,all,0.8127206869826048,0.8120840254123229,-0.0006366615702818601,0.18791597458767706,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,2,boundary,0.7305873604513775,0.7306872322147643,9.987176338677184e-05,0.2693127677852357,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B2,2,interior,0.8394034996510095,0.8385275492489135,-0.0008759504020959819,0.16147245075108652,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,0,all,0.9880842600079781,0.9880952332734732,1.0973265495040074e-05,0.01190476672652685,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,0,boundary,0.8314975591203475,0.8315040193430792,6.460222731652365e-06,0.16849598065692084,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,0,interior,0.9910673158695831,0.9910783797090759,1.1063839492786443e-05,0.008921620290924137,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,1,all,0.8027018820212352,0.8033340998517619,0.0006322178305266934,0.19666590014823815,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,1,boundary,0.7485211104847956,0.7487628615278717,0.0002417510430761105,0.25123713847212825,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,1,interior,0.8240149546477754,0.8248007618224357,0.000785807174660258,0.17519923817756433,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,2,all,0.8127206869826048,0.8123068907010998,-0.0004137962815049523,0.18769310929890015,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,2,boundary,0.7305873604513775,0.7308180757465392,0.00023071529516172085,0.26918192425346077,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,0,B3,2,interior,0.8394034996510095,0.8387803217656783,-0.000623177885331172,0.1612196782343217,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,0,all,0.9880842600079781,0.988102523782059,1.826377408087332e-05,0.011897476217941017,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,0,boundary,0.8314975591203475,0.8316792070424841,0.0001816479221365963,0.1683207929575159,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,0,interior,0.9910673158695831,0.9910824765781384,1.5160708555339575e-05,0.008917523421861584,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,1,all,0.8027018820212352,0.802829194230712,0.00012731220947681532,0.19717080576928803,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,1,boundary,0.7485211104847956,0.7485786663754437,5.755589064804223e-05,0.2514213336245563,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,1,interior,0.8240149546477754,0.8241697186888687,0.00015476404109326936,0.17583028131113132,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,2,all,0.8127206869826048,0.8131831299181895,0.00046244293558472815,0.18681687008181047,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,2,boundary,0.7305873604513775,0.7307039237069364,0.00011656325555886582,0.2692960762930636,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B0,2,interior,0.8394034996510095,0.8399783102996792,0.0005748106486697102,0.16002168970032082,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,0,all,0.9880842600079781,0.9880495100838235,-3.4749924154642287e-05,0.011950489916176532,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,0,boundary,0.8314975591203475,0.831296771887197,-0.00020078723315053448,0.16870322811280303,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,0,interior,0.9910673158695831,0.9910357523979525,-3.156347163058015e-05,0.008964247602047504,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,1,all,0.8027018820212352,0.8027170772244402,1.519520320503176e-05,0.1972829227755598,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,1,boundary,0.7485211104847956,0.7480087661019211,-0.0005123443828745078,0.25199123389807887,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,1,interior,0.8240149546477754,0.8242376746617687,0.00022272001399326058,0.17576232533823133,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,2,all,0.8127206869826048,0.8135708978976731,0.0008502109150683168,0.18642910210232688,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,2,boundary,0.7305873604513775,0.7305252966877668,-6.206376361073129e-05,0.2694747033122332,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B1,2,interior,0.8394034996510095,0.8405500809080365,0.0011465812570270462,0.1594499190919635,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,0,all,0.9880842600079781,0.9880352965922903,-4.896341568783047e-05,0.01196470340770972,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,0,boundary,0.8314975591203475,0.8312433535874428,-0.0002542055329046722,0.16875664641255717,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,0,interior,0.9910673158695831,0.991022277061838,-4.503880774509028e-05,0.008977722938162014,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,1,all,0.8027018820212352,0.8025913370995927,-0.00011054492164241925,0.19740866290040726,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,1,boundary,0.7485211104847956,0.747892410193591,-0.0006287002912046535,0.252107589806409,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,1,interior,0.8240149546477754,0.8241082295702488,9.3274922473352e-05,0.17589177042975124,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,2,all,0.8127206869826048,0.8136280317567035,0.0009073447740987062,0.1863719682432965,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,2,boundary,0.7305873604513775,0.7304878360099567,-9.95244414208063e-05,0.2695121639900433,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B2,2,interior,0.8394034996510095,0.8406379556493141,0.0012344559983046288,0.1593620443506859,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,0,all,0.9880842600079781,0.988066716284128,-1.7543723850099724e-05,0.01193328371587199,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,0,boundary,0.8314975591203475,0.8314088964031285,-8.866271721896801e-05,0.16859110359687146,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,0,interior,0.9910673158695831,0.9910511424088807,-1.6173460702373355e-05,0.008948857591119297,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,1,all,0.8027018820212352,0.8028565543168271,0.00015467229559196216,0.19714344568317288,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,1,boundary,0.7485211104847956,0.748191305278366,-0.0003298052064296675,0.25180869472163403,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,1,interior,0.8240149546477754,0.824360200624231,0.0003452459764555771,0.175639799375769,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,2,all,0.8127206869826048,0.8135308399936436,0.0008101530110388167,0.18646916000635638,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,2,boundary,0.7305873604513775,0.7306313467745865,4.398632320901097e-05,0.2693686532254135,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,1,B3,2,interior,0.8394034996510095,0.8404625815607446,0.0010590819097351378,0.1595374184392554,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,0,all,0.9880842600079781,0.9880342915221766,-4.996848580152147e-05,0.011965708477823411,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,0,boundary,0.8314975591203475,0.8314165446047128,-8.101451563469197e-05,0.16858345539528719,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,0,interior,0.9910673158695831,0.9910179470686963,-4.9368800886795405e-05,0.008982052931303719,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,1,all,0.8027018820212352,0.8021293864503959,-0.0005724955708392709,0.1978706135496041,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,1,boundary,0.7485211104847956,0.7482426748545898,-0.00027843563020579776,0.25175732514541016,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,1,interior,0.8240149546477754,0.8233268151987438,-0.0006881394490315662,0.17667318480125616,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,2,all,0.8127206869826048,0.8126185096827118,-0.00010217729989303592,0.18738149031728824,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,2,boundary,0.7305873604513775,0.7301635174449671,-0.00042384300641040706,0.2698364825550329,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B0,2,interior,0.8394034996510095,0.8394058171121469,2.3174611374354726e-06,0.1605941828878531,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,0,all,0.9880842600079781,0.9880105223640401,-7.373764393803217e-05,0.011989477635959922,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,0,boundary,0.8314975591203475,0.8311868164513869,-0.0003107426689605841,0.16881318354861308,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,0,interior,0.9910673158695831,0.9909981047700275,-6.921109955559945e-05,0.009001895229972523,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,1,all,0.8027018820212352,0.8022126584893849,-0.0004892235318502136,0.19778734151061506,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,1,boundary,0.7485211104847956,0.7477214285282825,-0.000799681956513143,0.2522785714717175,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,1,interior,0.8240149546477754,0.8236478560366451,-0.00036709861113026765,0.17635214396335486,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,2,all,0.8127206869826048,0.8131073379659911,0.0003866509833863052,0.1868926620340089,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,2,boundary,0.7305873604513775,0.7298644698926359,-0.0007228905587416401,0.27013553010736413,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B1,2,interior,0.8394034996510095,0.840150618309047,0.00074711865803756,0.15984938169095297,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,0,all,0.9880842600079781,0.987995915095037,-8.834491294107405e-05,0.012004084904962964,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,0,boundary,0.8314975591203475,0.8311079051911879,-0.0003896539291595724,0.16889209480881207,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,0,interior,0.9910673158695831,0.9909847096897435,-8.260617983957275e-05,0.009015290310256496,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,1,all,0.8027018820212352,0.8019764606463567,-0.00072542137487841,0.19802353935364325,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,1,boundary,0.7485211104847956,0.7474907845365546,-0.0010303259482410398,0.2525092154634454,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,1,interior,0.8240149546477754,0.8234094717895025,-0.0006054828582728877,0.17659052821049748,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,2,all,0.8127206869826048,0.8132296211956358,0.0005089342130309982,0.1867703788043642,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,2,boundary,0.7305873604513775,0.7297554709087396,-0.0008318895426379092,0.2702445290912604,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B2,2,interior,0.8394034996510095,0.840348025637682,0.0009445259866724953,0.15965197436231804,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,0,all,0.9880842600079781,0.9880301999867511,-5.4060021226987054e-05,0.011969800013248877,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,0,boundary,0.8314975591203475,0.8313513499552242,-0.00014620916512331217,0.1686486500447758,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,0,interior,0.9910673158695831,0.9910150387502666,-5.227711931643508e-05,0.008984961249733359,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,1,all,0.8027018820212352,0.8022958845043247,-0.0004059975169105057,0.19770411549567535,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,1,boundary,0.7485211104847956,0.7479673709924352,-0.0005537394923604833,0.25203262900756485,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,1,interior,0.8240149546477754,0.8236670524007987,-0.0003479022469766724,0.17633294759920126,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,2,all,0.8127206869826048,0.8131425610130129,0.0004218740304080537,0.18685743898698715,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,2,boundary,0.7305873604513775,0.7299475332766504,-0.0006398271747271034,0.2700524667233496,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,2,B3,2,interior,0.8394034996510095,0.8401702906898264,0.0007667910388169386,0.1598297093101736,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,0,all,0.9880842600079781,0.9880987135162549,1.4453508276779381e-05,0.01190128648374511,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,0,boundary,0.8314975591203475,0.8314260108214279,-7.154829891964365e-05,0.16857398917857214,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,0,interior,0.9910673158695831,0.9910834167178674,1.6100848284295033e-05,0.008916583282132629,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,1,all,0.8027018820212352,0.8027602162924902,5.833427125501167e-05,0.19723978370750983,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,1,boundary,0.7485211104847956,0.7485742432893332,5.3132804537558975e-05,0.2514257567106668,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,1,interior,0.8240149546477754,0.8240753282677838,6.0373620008435935e-05,0.17592467173221615,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,2,all,0.8127206869826048,0.8119167904599702,-0.0008038965226345729,0.18808320954002977,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,2,boundary,0.7305873604513775,0.7305436546574486,-4.370579392887208e-05,0.26945634534255136,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B0,2,interior,0.8394034996510095,0.8383526286709974,-0.0010508709800121085,0.16164737132900264,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,0,all,0.9880842600079781,0.9879849980834663,-9.926192451181759e-05,0.012015001916533707,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,0,boundary,0.8314975591203475,0.8309105565142416,-0.0005870026061058908,0.16908944348575838,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,0,interior,0.9910673158695831,0.9909773605486918,-8.995532089128844e-05,0.009022639451308212,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,1,all,0.8027018820212352,0.8022519170033883,-0.00044996501784688725,0.19774808299661173,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,1,boundary,0.7485211104847956,0.7473683366958512,-0.0011527737889444056,0.25263166330414877,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,1,interior,0.8240149546477754,0.8238414515800834,-0.00017350306769203794,0.17615854841991663,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,2,all,0.8127206869826048,0.8131580712080885,0.0004373842254836724,0.18684192879191153,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,2,boundary,0.7305873604513775,0.7303833822683267,-0.0002039781830508458,0.26961661773167334,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B1,2,interior,0.8394034996510095,0.8400492532532641,0.0006457536022546062,0.15995074674673593,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B2,0,all,0.9880842600079781,0.9879850730886987,-9.918691927945922e-05,0.012014926911301349,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B2,0,boundary,0.8314975591203475,0.8309138508830388,-0.0005837082373086888,0.16908614911696118,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B2,0,interior,0.9910673158695831,0.9909773796572229,-8.993621236019766e-05,0.009022620342777121,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B2,1,all,0.8027018820212352,0.8021751803793916,-0.0005267016418435411,0.19782481962060838,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B2,1,boundary,0.7485211104847956,0.7473311458777215,-0.001189964607074101,0.25266885412227846,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
0,REFUGE->RIM_ONE_r3,3,B2,1,interior,0.8240149546477754,0.8237491537736403,-0.00026580087413508036,0.17625084622635967,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
